NOME_IES	NOME_ESPECIALIZACAO	Area_Conhecimento	CARGA_HORARIA	DURACAO_MESES	MODALIDADE	VAGAS	MUNICIPIO	UF	REGIAO	SITUACAO	Categoria_IES
UNIVERSIDADE FEDERAL DE GOIÁS	DIREITO - ÁREA:  DIREITO PENAL	Negócios, administração e direito	530	23	Educação Presencial	50	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	EDUCAÇÃO INTEGRAL E INTEGRADA	Agricultura, silvicultura, pesca e veterinária	360	11	Educação Presencial	50	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	ENGENHARIA ECONÔMICA E FINANCEIRA PARA PROJETOS	Engenharia, produção e construção	360	24	Educação Presencial	50	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	PLANEJAMENTO E GESTÃO URBANA	Agricultura, silvicultura, pesca e veterinária	400	19	Educação Presencial	40	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	CIÊNCIA E TECNOLOGIA DE ALIMENTOS	Saúde e bem-estar	370	35	Educação Presencial	55	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	03/03/2005	Saúde e bem-estar	900	30	Educação Presencial	12	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	DIREITO AGRÁRIO	Negócios, administração e direito	420	24	Educação Presencial	50	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	ODONTOLOGIA EM SAÚDE COLETIVA	Saúde e bem-estar	576	17	Educação Presencial	40	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	ODONTOPEDIATRIA	Saúde e bem-estar	480	16	Educação Presencial	12	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	REGULAÇÃO DE SISTEMA DE SAÚDE	Saúde e bem-estar	400	12	Educação Presencial	70	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC	Educação em Direitos Humanos	Negócios, administração e direito	400	18	Educação a Distância	100	Santo André	SP	SUDESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	DIREITO CONSTITUCIONAL - REGIONAL GOIÁS	Negócios, administração e direito	480	24	Educação Presencial	50	Goiás	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	EDUCAÇÃO PARA A DIVERSIDADE: DIREITOS HUMANOS E CIDADANIA	Negócios, administração e direito	415	17	Educação a Distância	490	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	HISTÓRIA CULTURAL: IMAGINÁRIO, PODER E IDENTIDADES	Artes e humanidades	360	11	Educação Presencial	65	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	HISTÓRIA E NARRATIVAS AUDIOVISUAIS	Artes e humanidades	400	14	Educação Presencial	50	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	GESTÃO E POLÍTICAS PÚBLICAS	Negócios, administração e direito	370	29	Educação Presencial	45	Goiânia	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	EDUCAÇÃO DE JOVENS E ADULTOS PARA A JUVENTUDE	Educação	360	18	Educação Presencial	40	Goiás	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE GOIÁS	GEOGRAFIA/GESTÃO DO TERRITÓRIO	Computação e Tecnologias da Informação e Comunicação (TIC)	720	18	Educação Presencial	36	Catalão	GO	CENTRO-OESTE	Ativo	Pública Federal
UNIVERSIDADE FEDERAL DE RORAIMA	ESPECIAL NA PERSPECTIVA DA EDUCAÇÃO INCLUSIVA	Educação	408	18	Educação Presencial	35	Boa Vista	RR	NORTE	Ativo	Pública Federal
